	CSM5MCXD	CSM5MCY2	CSM67U9J	CSM67UAW	CSM67UB9
OTU_1	0.000682724596312	0.0005563724516154	0.0006215950842518	0.009969896092966	7.603762107528894e-05
OTU_2	0.0112943037290355	0.0052358621785955	0.0045847586469023	0.0168484770012624	0.7941661597491928
OTU_3	0.2733586034111516	0.1618547073083495	0.2839897694159382	0.4076489819700256	0.0762715829862898
OTU_4	0.0951211450002008	0.0276099829114175	0.0274808374509058	0.1144757712103065	0.0646495250573206
OTU_5	0.0125083795948755	0.0033183642649920663	0.0055666413277587	0.0115560159259378	0.0216941181975574
OTU_6	0.5881533380907807	0.0089317648928983	0.6690896997339415	0.0666170329848185	0.0298242946048383
OTU_7	0.0002378723706607	0.0	0.000122735335107	0.0003236979250963	0.0
OTU_8	0.0001853550940213	0.0	8.31432915241353e-05	0.0	0.0
OTU_9	0.0043218629422649	0.7865814886937169	0.0022884201190928	0.3525555951186352	0.0107797950493659
OTU_10	0.0	4.967611175138099e-05	0.0	0.0038843751011556	0.0
OTU_11	0.0075902911001751	0.000218574891706	0.0031950779171417	0.0015051953516977	0.0001228300032754
OTU_12	0.0065461240705214	0.0056432062949568	0.0029773216774357	0.0146149613180979	0.0024156567310841
