rxnID,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
12DGR180t,0.0188845948292106,0.0054544370703015,0.007779836564044001,0.0183536723529601,0.7942889897524682
12DGR180ti,0.9681837981112315,0.9911775225529544,0.9864476434815658,0.9658822386948497,0.18401689204997398
12PPDSDH,0.037939098494607505,0.0144160076302503,0.0163237995692384,0.0445246495969958,0.8183987646811097
12PPDt,0.0125083795948755,0.003318364264992,0.0055666413277587,0.0115560159259378,0.0216941181975574
13PPDHr,0.2733586034111516,0.1618547073083495,0.2839897694159382,0.4076489819700256,0.0762715829862898
23DHMPO,0.9995767725353174,0.9999503238882479,0.9997941213733684,0.9957919269737476,0.9999999999999996
23PDE2,0.022845015338133802,0.7980169296188847,0.0104720955276826,0.39398892953096154,0.8074376491507181
23PDE4,0.022845015338133802,0.7980169296188847,0.0104720955276826,0.39398892953096154,0.8074376491507181
23PDE7,0.022845015338133802,0.7980169296188847,0.0104720955276826,0.39398892953096154,0.8074376491507181
23PDE9,0.022845015338133802,0.7980169296188847,0.0104720955276826,0.39398892953096154,0.8074376491507181
26DAPLLAT,0.1315187069628638,0.8235206453920433,0.043737330546053096,0.5069109507008056,0.8914884656777874
26DAPLLATi,0.0065461240705214,0.0056432062949568,0.0029773216774357,0.0146149613180979,0.0024156567310841
26DAPt2r,0.11832760277167631,0.8196459086754359,0.037549094134042595,0.4853850386819018,0.8697183098591547
2AHBUTI,0.9995767725353174,0.9999503238882479,0.9997941213733684,0.9957919269737476,0.9999999999999996
2DH3DGLCA,0.2733586034111516,0.1618547073083495,0.2839897694159382,0.4076489819700256,0.0762715829862898
2DMMQ8abc,0.987491620405124,0.9966816357350072,0.9944333586722408,0.9884439840740618,0.9783058818024422
2HMCOXT,0.2733586034111516,0.1618547073083495,0.2839897694159382,0.4076489819700256,0.0762715829862898
2INSD,0.015616166671300401,0.7918173508723124,0.0068731787659951004,0.3694040721198976,0.8049459547985587
2MBCOATA,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
2MEBCOADH,0.0075902911001751,0.000218574891706,0.0031950779171417,0.0015051953516977,0.0001228300032754
2OBUTt2r,0.1135794231131622,0.8200532527917972,0.035941657164576,0.4831515229987373,0.077967806841046
2OMMBOX,0.01191215404244,0.7868000635854229,0.0054834980362345,0.3540607904703329,0.0109026250526413
2OMPHH,0.01191215404244,0.7868000635854229,0.0054834980362345,0.3540607904703329,0.0109026250526413
2S6HCC,0.9870683929404419,0.9966816357350072,0.9942274800456097,0.9881202861489654,0.9783058818024422
36DAHXI,0.0,4.967611175138099e-05,0.0,0.0038843751011556,0.0
3BTCOAI,0.3865055313049306,0.2003437586933193,0.3191158304827061,0.5535881914996924,0.9375029245238873
3CARLPDH,0.2911990312107085,0.1727337757819018,0.29155184974027615,0.4391124202893859,0.8728533994665667
3DGUR,0.8793523693014892,0.1816655406748001,0.9606415494742176,0.5057294532742044,0.902677694071405
3HAD100,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
3HAD10M12,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
3HAD11M12,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
3HAD120,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
3HAD121,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
3HAD12M14,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
3HAD13M14,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
3HAD140,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
3HAD141,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
3HAD14M16,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
3HAD15M16,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
3HAD160,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
3HAD161,0.0994430079424657,0.8141914716051344,0.0297692575699986,0.4670313663289417,0.0754293201066865
3HAD180,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
3HAD181,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
3HAD40,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
3HAD4M6,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
3HAD5M6,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
3HAD60,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
3HAD6M8,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
3HAD7M8,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
3HAD80,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
3HAD8M10,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
3HAD9M10,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
3HBCD,0.3865055313049306,0.2003437586933193,0.3191158304827061,0.5535881914996924,0.9375029245238873
