metID,metName,metFormula,metComp
panBacteroides_pectinophilus_11mddcaACP_c,11-methyl-dodecanoyl-ACP,C24H45N2O8PRS,c
panBacteroides_pectinophilus_11mtddec2eACP_c,11-methyl-trans-dodec-2-enoyl-ACP,C24H43N2O8PRS,c
panBacteroides_pectinophilus_12daihdglyc_c,"1,2-Dianteisoheptadecanoyl-sn-glycerol",C37H72O5,c
panBacteroides_pectinophilus_12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,c
panBacteroides_pectinophilus_12dgr180_u,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,u
panBacteroides_pectinophilus_12dihdglyc_c,"1,2-Diisoheptadecanoyl-sn-glycerol",C37H72O5,c
panBacteroides_pectinophilus_12m3hmyrsACP_c,12-methyl-3-hydroxy-tetra-decanoyl-ACP,C26H49N2O9PRS,c
panBacteroides_pectinophilus_12m3htridecACP_c,12-methyl-3-hydroxy-tridecanoyl-ACP,C25H47N2O9PRS,c
panBacteroides_pectinophilus_12m3omyrsACP_c,12-methyl-3-oxo-tetra-decanoyl-ACP,C26H47N2O9PRS,c
panBacteroides_pectinophilus_12m3otridecACP_c,12-methyl-3-oxo-tridecanoyl-ACP,C25H45N2O9PRS,c
panBacteroides_pectinophilus_12mmyrsACP_c,12-methyl-tetra-decanoyl-ACP,C26H49N2O8PRS,c
panBacteroides_pectinophilus_12mtmrs2eACP_c,12-methyl-trans-tetra-dec-2-enoyl-ACP,C26H47N2O8PRS,c
panBacteroides_pectinophilus_12mtridecACP_c,12-methyl-tridecanoyl-ACP,C25H47N2O8PRS,c
panBacteroides_pectinophilus_12ppd_S_c,"(S)-propane-1,2-diol",C3H8O2,c
panBacteroides_pectinophilus_13dpg_c,3-Phospho-D-glyceroyl phosphate,C3H4O10P2,c
panBacteroides_pectinophilus_13m3hmyrsACP_c,13-methyl-3-hydroxy-tetra-decanoyl-ACP,C26H49N2O9PRS,c
panBacteroides_pectinophilus_13m3omyrsACP_c,13-methyl-3-oxo-tetra-decanoyl-ACP,C26H47N2O9PRS,c
panBacteroides_pectinophilus_13mmyrsACP_c,13-methyl-tetra-decanoyl-ACP,C26H49N2O8PRS,c
panBacteroides_pectinophilus_13mtmrs2eACP_c,13-methyl-trans-tetra-dec-2-enoyl-ACP,C26H47N2O8PRS,c
panBacteroides_pectinophilus_14m3hpalmACP_c,14-methyl-3-hydroxy-hexa-decanoyl-ACP,C28H53N2O9PRS,c
panBacteroides_pectinophilus_14m3hpentdecACP_c,14-methyl-3-hydroxy-pentadecanoyl-ACP,C27H51N2O9PRS,c
panBacteroides_pectinophilus_14m3opalmACP_c,14-methyl-3-oxo-hexa-decanoyl-ACP,C28H51N2O9PRS,c
panBacteroides_pectinophilus_14m3opentdecACP_c,14-methyl-3-oxo-pentadecanoyl-ACP,C27H49N2O9PRS,c
panBacteroides_pectinophilus_14mpalmACP_c,14-methyl-hexa-decanoyl-ACP,C28H53N2O8PRS,c
panBacteroides_pectinophilus_14mpentdecACP_c,14-methyl-pentadecanoyl-ACP,C27H51N2O8PRS,c
panBacteroides_pectinophilus_14mtpalm2eACP_c,14-methyl-trans-hexa-dec-2-enoyl-ACP,C28H51N2O8PRS,c
panBacteroides_pectinophilus_15dap_c,"1,5-Diaminopentane",C5H16N2,c
panBacteroides_pectinophilus_15m3hpalmACP_c,15-methyl-3-hydroxy-hexa-decanoyl-ACP,C28H53N2O9PRS,c
panBacteroides_pectinophilus_15m3opalmACP_c,15-methyl-3-oxo-hexa-decanoyl-ACP,C28H51N2O9PRS,c
panBacteroides_pectinophilus_15mpalmACP_c,15-methyl-hexa-decanoyl-ACP,C28H53N2O8PRS,c
panBacteroides_pectinophilus_15mtpalm2eACP_c,15-methyl-trans-hexa-dec-2-enoyl-ACP,C28H51N2O8PRS,c
panBacteroides_pectinophilus_1agpe120_c,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C17H36NO7P1,c
panBacteroides_pectinophilus_1agpe140_c,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),C19H40NO7P1,c
panBacteroides_pectinophilus_1agpe141_c,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C19H38NO7P1,c
panBacteroides_pectinophilus_1agpe160_c,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),C21H44NO7P1,c
panBacteroides_pectinophilus_1agpe161_c,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),C21H42NO7P1,c
panBacteroides_pectinophilus_1agpe180_c,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),C23H48NO7P1,c
